Time,Temperature,cop
13651200,32.728965,4.512228082637888
13737600,31.38042,4.240482431954288
13824000,31.048669,4.423583161591516
13910400,30.875987,4.408122491652343
13996800,30.559425,4.345484253394967
14083200,30.515023,4.303600391565464
14169600,31.14604,4.47760053499833
14256000,25.048507,0.0
14342400,33.677423,4.836155838263399
14428800,25.735375,0.0
14515200,22.820959,0.0
14601600,21.317321,0.0
14688000,20.404565,0.0
14774400,19.797411,0.0
14860800,19.363961,0.0
14947200,19.035599,0.0
15033600,18.774534,0.0
15120000,18.559016,0.0
15206400,18.375967,0.0
15292800,18.217154,0.0
15379200,18.077148,0.0
15465600,17.952205,0.0
15552000,17.839631,0.0
15638400,17.737419,0.0
15724800,17.644023,0.0
15811200,40.423774,5.710748327400072
15897600,38.345452,5.201567746193785
15984000,37.082038,5.281970454123737
16070400,36.480218,5.243998044124394
16156800,35.25922,4.883492026091146
16243200,33.446789,4.5467340007230375
16329600,31.65488,4.387404810090703
16416000,30.833395,4.25516612539978
16502400,30.868942,4.329203859333737
16588800,31.223718,4.364931453592394
16675200,31.407995,4.3976201826419015
16761600,31.093612,4.336638139740761
16848000,30.470741,4.279074377866737
16934400,30.101802,4.20457593362767
17020800,30.415293,4.204862969266362
17107200,31.563854,4.498745376672561
17193600,25.795452,0.0
17280000,23.373908,0.0
17366400,22.033181,0.0
17452800,21.183977,0.0
17539200,20.598499,0.0
17625600,20.166514,0.0
17712000,19.829517,0.0
17798400,19.554819,0.0
17884800,19.32333,0.0
17971200,19.123378,0.0
18057600,18.947484,0.0
18144000,18.790621,0.0
18230400,18.649256,0.0
18316800,18.520802,0.0
18403200,18.403297,0.0
18489600,18.295209,0.0
18576000,18.195313,0.0
18662400,18.102609,0.0
18748800,18.016267,0.0
18835200,17.935591,0.0
18921600,17.859989,0.0
19008000,17.788954,0.0
19094400,17.722049,0.0
19180800,17.658893,0.0
19267200,17.599155,0.0
19353600,41.646493,5.902760080491582
19440000,39.283924,5.271008887248066
19526400,37.413571,5.119742573028832
19612800,36.590043,5.112255483905331
19699200,36.47012,5.237092478773424
19785600,28.002981,0.0
19872000,24.433098,0.0
19958400,39.16896,5.555239842855612
20044800,37.496558,5.088637533024807
20131200,36.632665,5.027975460093432
20217600,28.462305,0.0
20304000,24.987618,0.0
20390400,23.097103,0.0
