Time,Temperature,cop
19958400,15.91788531,0.0
20044800,15.91225213,0.0
20131200,15.90669718,0.0
20217600,15.90121879,0.0
20304000,15.8958153,0.0
20390400,15.89048512,0.0
20476800,15.88522671,0.0
20563200,15.88003857,0.0
20649600,15.87491925,0.0
20736000,15.86986734,0.0
20822400,15.86488145,0.0
20908800,15.85996027,0.0
20995200,15.8551025,0.0
21081600,15.85030688,0.0
21168000,15.84557218,0.0
21254400,15.84089723,0.0
21340800,15.83628086,0.0
21427200,15.83172194,0.0
21513600,15.82721939,0.0
21600000,15.82277214,0.0
21686400,15.81837915,0.0
21772800,15.8140394,0.0
21859200,15.80975193,0.0
21945600,15.80551576,0.0
22032000,15.80132996,0.0
22118400,15.79719362,0.0
22204800,15.79310586,0.0
22291200,15.78906581,0.0
22377600,15.78507261,0.0
22464000,15.78112546,0.0
22550400,15.77722355,0.0
22636800,15.77336608,0.0
22723200,15.7695523,0.0
22809600,15.76578146,0.0
22896000,15.76205283,0.0
22982400,15.7583657,0.0
23068800,15.75471936,0.0
23155200,15.75111314,0.0
23241600,15.74754637,0.0
23328000,15.74401841,0.0
23414400,15.74052861,0.0
23500800,15.73707637,0.0
23587200,15.73366106,0.0
23673600,15.7302821,0.0
23760000,15.72693891,0.0
23846400,15.72363091,0.0
23932800,15.72035755,0.0
24019200,44.67891712,5.219875190692466
24105600,42.40045856,4.982436940347197
24192000,28.87538994,0.0
24278400,23.71855049,0.0
24364800,21.15030939,0.0
24451200,19.70378154,0.0
24537600,18.82802528,0.0
24624000,18.26397292,0.0
24710400,17.87849574,0.0
24796800,17.60010637,0.0
24883200,17.38905694,0.0
24969600,17.22245065,0.0
25056000,17.08658724,0.0
25142400,16.97293259,0.0
25228800,16.87594664,0.0
25315200,16.79188355,0.0
25401600,16.71811122,0.0
25488000,16.65271421,0.0
25574400,16.59425501,0.0
25660800,16.54162603,0.0
25747200,16.49395476,0.0
25833600,16.45054113,0.0
25920000,16.41081476,0.0
26006400,42.33558386,4.807538850367785
26092800,37.03522027,3.896616589873758
26179200,33.49660377,3.5539350541723547
26265600,31.02369876,3.563414358100463
26352000,33.58010188,4.34523697086624
26438400,25.76218682,0.0
26524800,22.58805398,0.0
26611200,20.90628988,0.0
26697600,40.45445447,4.599968848670353
26784000,37.74434241,4.377387779919074
26870400,33.80856323,3.9488160295776256
26956800,30.4940849,3.5498711836624413
27043200,28.65701275,3.244291699536036
27129600,27.41512804,3.172238967425507
27216000,26.33915131,3.272196985441656
27302400,25.59777962,3.1858882731913365
27388800,24.98728025,3.1663528729218067
27475200,24.46288493,3.153879056485199
27561600,24.02284748,3.125879454724505
27648000,23.73475661,3.0284522128053304
27734400,23.27820971,3.141791374628297
27820800,22.94516968,3.0907374180181
27907200,22.81100757,2.94970624936626
27993600,22.51870726,3.0198668590994155
28080000,22.17312402,3.073382724880592
28166400,21.84172373,3.0951727570316447
28252800,21.64669874,3.0190410520607127
28339200,21.45881336,3.001579422829124
28425600,21.08217646,3.1396116787992825
28512000,22.93567378,3.3308963962340625
28598400,25.99670854,3.426192808152674
28684800,25.02421556,3.3091704440185428
28771200,23.33282792,2.923816589786856
