dt,dt,T_feed,Q,heat_pump
167,2019-06-16,60.13333333333333,283.6951436926594,283.6951436926594
168,2019-06-17,60.57916666666667,265.0393764654288,0.0
169,2019-06-18,60.0,227.4306156058069,0.0
170,2019-06-19,60.0,205.12250806934307,0.0
171,2019-06-20,60.0,229.47021940887214,0.0
172,2019-06-21,60.09166666666667,263.90763194517075,0.0
173,2019-06-22,60.44166666666666,278.5965974682136,0.0
174,2019-06-23,60.05416666666667,249.00415868085358,0.0
175,2019-06-24,60.0,212.0934115184243,0.0
176,2019-06-25,60.0,184.16665869271276,0.0
177,2019-06-26,60.0,173.76887219626016,0.0
178,2019-06-27,60.0,194.94976105701366,0.0
179,2019-06-28,60.270833333333336,226.45580753588013,0.0
180,2019-06-29,60.324999999999996,210.77410181196115,0.0
181,2019-06-30,60.0,184.9433689152736,0.0
182,2019-07-01,60.0,195.653599347937,0.0
183,2019-07-02,60.104166666666664,239.15652829561176,0.0
184,2019-07-03,60.9,302.17984291856123,302.17984291856123
185,2019-07-04,61.19166666666666,334.8498813814864,334.8498813814864
186,2019-07-05,60.09166666666667,303.45268368937894,303.45268368937894
187,2019-07-06,60.125,282.9643023671794,282.9643023671794
188,2019-07-07,60.26666666666667,340.288490070529,340.288490070529
189,2019-07-08,61.31666666666666,418.5127086390858,418.5127086390858
190,2019-07-09,61.51666666666667,468.1210006475466,468.1210006475466
191,2019-07-10,61.737500000000004,446.59318256611095,446.59318256611095
192,2019-07-11,60.32083333333333,396.46651197958073,396.46651197958073
193,2019-07-12,60.11666666666667,362.1321468570382,362.1321468570382
194,2019-07-13,60.112500000000004,356.1802459694923,356.1802459694923
195,2019-07-14,60.29583333333333,383.26500865252547,383.26500865252547
196,2019-07-15,60.637499999999996,412.7527812148912,412.7527812148912
197,2019-07-16,60.987500000000004,411.0878436454148,411.0878436454148
198,2019-07-17,60.699999999999996,367.6232251518032,367.6232251518032
199,2019-07-18,60.637499999999996,287.11555982698314,287.11555982698314
200,2019-07-19,60.0,246.4466951446667,0.0
201,2019-07-20,60.0,208.9645403177392,0.0
202,2019-07-21,60.0,209.70689904813798,0.0
203,2019-07-22,60.07916666666667,206.66242010115513,0.0
204,2019-07-23,60.0,175.1891988277997,0.0
205,2019-07-24,60.0,155.65346785314387,0.0
206,2019-07-25,60.0,147.27365568865054,0.0
207,2019-07-26,60.0,146.71978872679034,0.0
208,2019-07-27,60.0,154.3747174539408,0.0
209,2019-07-28,60.0,173.57865356257676,0.0
210,2019-07-29,60.0,190.80938455383412,0.0
211,2019-07-30,60.0,188.8326703916847,0.0
212,2019-07-31,60.0,211.44443847858827,0.0
213,2019-08-01,60.15416666666667,230.67251153525436,0.0
214,2019-08-02,60.0375,246.36843997920894,0.0
215,2019-08-03,60.012499999999996,265.58055755941257,0.0
216,2019-08-04,60.25,254.43813930085798,0.0
217,2019-08-05,60.0,225.5634190792285,0.0
218,2019-08-06,60.0,212.4890130995959,0.0
219,2019-08-07,60.0,227.59550236677896,0.0
220,2019-08-08,60.012499999999996,234.33799080940403,0.0
221,2019-08-09,60.083333333333336,216.96755932966207,0.0
222,2019-08-10,60.0,204.42013360539957,0.0
223,2019-08-11,60.0,215.23740088500827,0.0
224,2019-08-12,60.03333333333333,260.41659827808303,0.0
225,2019-08-13,60.54583333333333,330.7565668318437,330.7565668318437
226,2019-08-14,61.291666666666664,365.3859168492093,365.3859168492093
227,2019-08-15,60.3125,362.8318409025316,362.8318409025316
228,2019-08-16,60.1875,329.6706142591921,329.6706142591921
229,2019-08-17,60.0,291.7250660718005,291.7250660718005
230,2019-08-18,60.0,264.4132396184845,0.0
231,2019-08-19,60.0,270.7911796183826,0.0
232,2019-08-20,60.40833333333333,308.64424502011724,308.64424502011724
233,2019-08-21,61.03333333333333,338.60310209346795,338.60310209346795
234,2019-08-22,61.12083333333334,311.14695814608746,311.14695814608746
235,2019-08-23,60.67916666666667,269.23030920092276,0.0
236,2019-08-24,60.237500000000004,228.9187334752082,0.0
237,2019-08-25,60.0,196.9761130136951,0.0
238,2019-08-26,60.0,182.86360550977724,0.0
239,2019-08-27,60.0,176.23716912462348,0.0
240,2019-08-28,60.0,173.15112307434916,0.0
241,2019-08-29,60.0,176.52774373928057,0.0
242,2019-08-30,60.0,189.62289062290964,0.0
243,2019-08-31,60.0,178.5116850405384,0.0
244,2019-09-01,60.0,209.9161885833116,0.0
245,2019-09-02,61.025,293.6987785696907,293.6987785696907
246,2019-09-03,61.625,353.2894685078677,353.2894685078677
247,2019-09-04,60.69583333333333,338.77299919362764,338.77299919362764
248,2019-09-05,60.60833333333333,401.691848313292,401.691848313292
249,2019-09-06,62.362500000000004,472.20554925702396,472.20554925702396
250,2019-09-07,61.74583333333334,528.6958595404276,528.6958595404276
251,2019-09-08,62.23333333333333,587.2867351773658,587.2867351773658
252,2019-09-09,62.18333333333334,623.7796793402091,623.7796793402091
253,2019-09-10,62.67916666666667,609.4865953443843,609.4865953443843
254,2019-09-11,62.35,544.9630103046619,544.9630103046619
255,2019-09-12,60.0,398.75946803475836,398.75946803475836
256,2019-09-13,60.04583333333333,353.579878308883,353.579878308883
257,2019-09-14,61.84583333333333,407.1771858091269,407.1771858091269
258,2019-09-15,61.82916666666667,384.33190417208016,384.33190417208016
259,2019-09-16,60.92083333333333,433.9629436732173,433.9629436732173
260,2019-09-17,61.675000000000004,522.8781543433088,522.8781543433088
261,2019-09-18,63.82083333333333,656.9902837824238,656.9902837824238
262,2019-09-19,64.65416666666667,791.8959951874558,700.0
263,2019-09-20,64.6375,824.4390237962642,700.0
264,2019-09-21,63.041666666666664,658.3830347651826,658.3830347651826
265,2019-09-22,61.7875,484.2889310247959,484.2889310247959
266,2019-09-23,60.612500000000004,449.78162709492534,449.78162709492534
267,2019-09-24,61.17083333333333,443.93682017710665,443.93682017710665
268,2019-09-25,60.675000000000004,457.31602006874846,457.31602006874846
269,2019-09-26,60.7125,444.7365622318238,444.7365622318238
270,2019-09-27,60.175000000000004,439.55139868886744,439.55139868886744
271,2019-09-28,60.80833333333334,459.2144427839064,459.2144427839064
272,2019-09-29,60.80416666666667,446.6458219344154,446.6458219344154
273,2019-09-30,60.70416666666667,476.2452352079218,476.2452352079218
274,2019-10-01,61.5625,500.4643426065238,500.4643426065238
275,2019-10-02,63.9375,673.9277976237286,673.9277976237286
276,2019-10-03,65.73333333333333,865.6909935280454,700.0
277,2019-10-04,65.70416666666667,961.0610360168902,700.0
278,2019-10-05,65.3625,1027.9530591383484,700.0
279,2019-10-06,67.19166666666666,1156.98343718966,700.0
280,2019-10-07,66.71666666666667,1178.7106603892323,700.0
281,2019-10-08,63.40833333333333,957.5027466988931,700.0
282,2019-10-09,63.25,844.0975178307687,700.0
283,2019-10-10,64.10833333333333,824.3896925197151,700.0
284,2019-10-11,62.44583333333333,708.9430156506295,700.0
285,2019-10-12,60.92083333333333,552.2578920272118,552.2578920272118
286,2019-10-13,60.25833333333333,401.91364379324546,401.91364379324546
287,2019-10-14,60.30416666666667,359.48475766860014,359.48475766860014
288,2019-10-15,60.92916666666667,397.44422822697237,397.44422822697237
289,2019-10-16,62.27916666666667,509.8946132184397,509.8946132184397
290,2019-10-17,61.49583333333334,540.1969270726725,540.1969270726725
291,2019-10-18,61.62083333333334,570.0958688250238,570.0958688250238
292,2019-10-19,62.82916666666667,634.2103371508878,634.2103371508878
293,2019-10-20,62.10833333333333,627.7125974692514,627.7125974692514
294,2019-10-21,61.60833333333333,598.835319283423,598.835319283423
295,2019-10-22,62.92916666666667,665.0238322253571,665.0238322253571
296,2019-10-23,63.395833333333336,696.2216114484789,696.2216114484789
297,2019-10-24,62.07083333333333,640.1519194423298,640.1519194423298
298,2019-10-25,61.54583333333333,605.1960728856319,605.1960728856319
299,2019-10-26,61.800000000000004,558.2152830439549,558.2152830439549
300,2019-10-27,63.544,679.3535206245572,679.3535206245572
301,2019-10-28,68.14583333333333,1048.7347064416415,700.0
302,2019-10-29,69.20833333333333,1324.2343199908075,700.0
303,2019-10-30,71.09166666666667,1626.1964602136995,700.0
304,2019-10-31,72.02083333333333,1821.2721788823449,700.0
305,2019-11-01,70.12083333333334,1721.6973287052076,700.0
306,2019-11-02,62.800000000000004,1143.7684604171259,700.0
307,2019-11-03,63.70416666666667,930.1995274902442,700.0
308,2019-11-04,64.7,896.9979239479567,700.0
309,2019-11-05,66.31666666666666,1003.1569771037438,700.0
310,2019-11-06,67.4375,1161.7810736140138,700.0
311,2019-11-07,67.82916666666667,1252.8724713690667,700.0
312,2019-11-08,69.19583333333334,1412.1791029055184,700.0
313,2019-11-09,69.87916666666666,1546.7034007241418,700.0
314,2019-11-10,72.27499999999999,1789.567147521171,700.0
315,2019-11-11,72.34583333333333,1896.9302249041737,700.0
316,2019-11-12,70.23333333333333,1805.754023468232,700.0
317,2019-11-13,70.85416666666667,1786.5082779362212,700.0
318,2019-11-14,70.67916666666666,1754.9802655015274,700.0
319,2019-11-15,70.47083333333333,1717.7467843479942,700.0
320,2019-11-16,70.54583333333333,1730.1459738826732,700.0
321,2019-11-17,71.74583333333334,1801.0027790102556,700.0
322,2019-11-18,69.7625,1707.7852104096817,700.0
323,2019-11-19,70.26666666666667,1713.3164890922017,700.0
324,2019-11-20,72.26666666666667,1847.7647948304884,700.0
325,2019-11-21,71.00416666666666,1805.5665481736805,700.0
326,2019-11-22,69.94583333333334,1721.7139380985466,700.0
327,2019-11-23,69.34583333333333,1637.0294747270866,700.0
328,2019-11-24,70.3875,1664.9903694069883,700.0
329,2019-11-25,70.51666666666667,1690.362986771863,700.0
330,2019-11-26,68.05,1504.885320610177,700.0
331,2019-11-27,66.47083333333333,1311.6649780264634,700.0
332,2019-11-28,65.55416666666666,1144.3078490156997,700.0
333,2019-11-29,69.46249999999999,1366.469658866263,700.0
334,2019-11-30,73.02083333333333,1760.8847513941566,700.0
335,2019-12-01,74.25416666666666,2029.2259257775434,700.0
336,2019-12-02,72.94166666666666,2075.7755987318446,700.0
337,2019-12-03,71.78750000000001,1989.3581961821699,700.0
338,2019-12-04,72.83333333333333,2017.499532447333,700.0
339,2019-12-05,75.09166666666667,2166.9407636348287,700.0
340,2019-12-06,72.32083333333334,2059.57381477156,700.0
341,2019-12-07,67.21666666666667,1648.1082534861246,700.0
342,2019-12-08,66.33333333333333,1356.5620082921878,700.0
343,2019-12-09,68.45416666666667,1367.4604938541336,700.0
344,2019-12-10,72.07916666666667,1663.4301892316025,700.0
345,2019-12-11,72.38333333333334,1854.5560014424454,700.0
346,2019-12-12,71.92916666666666,1924.8727620224545,700.0
347,2019-12-13,72.50833333333334,1980.7892900169236,700.0
348,2019-12-14,69.89583333333333,1801.4890236941108,700.0
349,2019-12-15,67.875,1558.9335504090052,700.0
350,2019-12-16,67.88333333333334,1427.0077731814727,700.0
351,2019-12-17,65.64583333333333,1184.3671540554249,700.0
352,2019-12-18,67.16250000000001,1215.1980518926541,700.0
353,2019-12-19,68.64166666666667,1329.688119534617,700.0
354,2019-12-20,68.05,1334.5645145828657,700.0
355,2019-12-21,68.58333333333333,1413.9968218824333,0.0
356,2019-12-22,69.35416666666667,1493.608971689386,0.0
357,2019-12-23,68.25833333333334,1447.689103168481,0.0
358,2019-12-24,68.58749999999999,1450.5925021186847,0.0
359,2019-12-25,68.79583333333333,1470.4321446610904,0.0
360,2019-12-26,70.775,1619.1566056037989,0.0
361,2019-12-27,71.575,1775.2386963875122,0.0
362,2019-12-28,74.85000000000001,2071.034971927343,0.0
363,2019-12-29,75.39583333333333,2224.873409131738,0.0
364,2019-12-30,72.22083333333333,2078.562503804049,0.0
365,2019-12-31,72.175,2022.2424300519017,0.0
